    f_weight    f_mass4l f_D_bkg_kin     f_pfmet
         1.0   1.255e+02   8.522e-01   2.841e+02
         1.0   1.265e+02   9.442e-01   1.098e+02
         1.0   1.247e+02   5.242e-01   4.962e+01
         1.0   1.211e+02   7.469e-01   3.980e+01
         1.0   1.187e+02   4.960e-01   5.549e+01
         1.0   1.275e+02   5.820e-01   1.931e+02
         1.0   1.238e+02   5.519e-01   8.990e+01
         1.0   1.246e+02   2.508e-01   1.062e+02
         1.0   1.263e+02   5.096e-01   7.624e+01
         1.0   1.238e+02   7.608e-01   2.998e+01
         1.0   1.284e+02   7.982e-01   2.976e+01
         1.0   1.213e+02   1.471e-01   2.605e+02
         1.0   1.271e+02   5.062e-01   1.276e+02
         1.0   1.270e+02   9.540e-01   1.127e+02
         1.0   1.243e+02   7.502e-01   1.956e+02
         1.0   1.052e+02   2.218e-01   1.663e+02
         1.0   1.211e+02   8.926e-01   2.533e+01
         1.0   1.248e+02   5.514e-01   1.055e+02
         1.0   1.262e+02   5.195e-01   1.965e+02
         1.0   1.254e+02   1.340e-01   2.882e+01
         1.0   1.249e+02   5.130e-01   1.006e+02
         1.0   1.245e+02   6.986e-01   1.967e+01
         1.0   1.213e+02   5.274e-01   2.488e+01
         1.0   1.250e+02   5.728e-01   8.419e+01
         1.0   1.256e+02   8.424e-01   3.451e+01
         1.0   1.245e+02   8.605e-01   1.057e+02
         1.0   1.217e+02   8.122e-01   1.066e+02
         1.0   1.269e+02   7.107e-01   1.369e+02
         1.0   1.256e+02   9.275e-01   5.161e+00
         1.0   1.257e+02   1.397e-01   1.416e+02
         1.0   1.265e+02   5.735e-01   1.406e+02
         1.0   1.081e+02   6.748e-01   1.025e+02
         1.0   1.272e+02   2.124e-01   9.355e+01
         1.0   1.141e+02   1.080e-01   1.236e+02
         1.0   1.253e+02   8.988e-01   6.800e+01
         1.0   1.250e+02   9.173e-01   6.083e+01
         1.0   1.243e+02   2.624e-01   1.055e+02
         1.0   1.247e+02   2.768e-01   5.827e+01
         1.0   1.126e+02   9.158e-01   1.055e+02
         1.0   1.240e+02   6.796e-01   6.760e+01
         1.0   1.263e+02   7.277e-01   4.496e+01
         1.0   1.247e+02   8.353e-01   4.935e+01
         1.0   1.239e+02   3.253e-01   9.662e+01
         1.0   1.258e+02   2.030e-01   1.181e+02
         1.0   1.237e+02   7.617e-01   1.020e+02
         1.0   1.300e+02   4.803e-01   3.937e+01
